date_post,date_extraction,influencer,post_type,post_url,platform,comment,comment_likecount,replies,BU;;;;;;;;;
"2021-10-14,2021-12-15,JJ Medicine,VIDEO,https://www.youtube.com/watch?v=FwiaoKrdzx4,Youtube,""Most (or all) the people I know who have suffered from CFS also have fibromyalgia and have a history of prolonged trauma and stress. THAT is the underlying factor and the link. Adrenal fatigue is also related. See Dr Berg on naturally supporting the adrenals. That&#39";"s what has helped me. Eat healthy, adequate rest, build joy, destress as much as possible,.and support/nourish the adrenals ....prayer is also very helpful."",0,""@La Gatita Yes, like hell yes. 🥺"",CS";;;;;;;;
"2021-10-14,2021-12-15,JJ Medicine,VIDEO,https://www.youtube.com/watch?v=FwiaoKrdzx4,Youtube,""Most (or all) the people I know who have suffered from CFS also have fibromyalgia and have a history of prolonged trauma and stress. THAT is the underlying factor and the link. Adrenal fatigue is also related. See Dr Berg on naturally supporting the adrenals. That&#39";"s what has helped me. Eat healthy, adequate rest, build joy, destress as much as possible,.and support/nourish the adrenals ....prayer is also very helpful."",0,""@La Gatita in my experience, yes"",CS";;;;;;;;
2021-10-14,2021-12-15,JJ Medicine,VIDEO,https://www.youtube.com/watch?v=FwiaoKrdzx4,Youtube,I&#39;ve heard this often goes with anciety/ depression. I&#39;ve had that and I think having mono made them all worse.,0,I too had mono...ever since high Epstein bar loads.  And bad cfs. ....keep an eye on your Epstein bar. It&#39;s linked to serious bad disease.....get panels run when you do blood work. I have been sick w cfs for three years. Now I have an MRI for MS. Which is linked to Epstein bar. Just keep eye on these. I&#39;ve been trying to get help for three years. Just started to figure out what a monster EBV is. Mold is linked to chronic fatigue. And ebv. Check your house n work spaces. Wishing you good health. Happy Holidays.,CS;;;;;
2021-10-14,2021-12-15,JJ Medicine,VIDEO,https://www.youtube.com/watch?v=FwiaoKrdzx4,Youtube,Thanks<br>Very informative 👍,0,,CS;;;;;;;;;
"2021-10-14,2021-12-15,JJ Medicine,VIDEO,https://www.youtube.com/watch?v=FwiaoKrdzx4,Youtube,""Most (or all) the people I know who have suffered from CFS also have fibromyalgia and have a history of prolonged trauma and stress. THAT is the underlying factor and the link. Adrenal fatigue is also related. See Dr Berg on naturally supporting the adrenals. That&#39";"s what has helped me. Eat healthy, adequate rest, build joy, destress as much as possible,.and support/nourish the adrenals ....prayer is also very helpful."",0,@Tom Saywer I can be gone for months and then yo into full panic mode.,CS";;;;;;;;
2021-10-14,2021-12-15,JJ Medicine,VIDEO,https://www.youtube.com/watch?v=FwiaoKrdzx4,Youtube,Not me self diagnosing.. 😬,0,,CS;;;;;;;;;
2021-10-14,2021-12-15,JJ Medicine,VIDEO,https://www.youtube.com/watch?v=FwiaoKrdzx4,Youtube,I didn&#39;t even know this existed.<br>Thank you.,0,,CS;;;;;;;;
2021-10-14,2021-12-15,JJ Medicine,VIDEO,https://www.youtube.com/watch?v=FwiaoKrdzx4,Youtube,Bakeing soda and water with Lemons along with your minerals and vitamins and don’t listen to this net wet because he sure does have all the symptoms down to a T but he has no idea how to heal the body this is not healthcare this is ignorant death care,0,,CS;;;;;;;;;
"2021-10-14,2021-12-15,JJ Medicine,VIDEO,https://www.youtube.com/watch?v=FwiaoKrdzx4,Youtube,""I was diagnosed with Fibro/CFS in 2005, then found Dr. Jacob Teitlebaum, read his books then made an appt. at one of his clinics. I was pleased with the extensive testing that was done there and the answers I desperately needed to understand why I felt this way. This is a great video Thanks For Sharing!"",0,,CS";;;;;;;;;
2021-10-14,2021-12-15,JJ Medicine,VIDEO,https://www.youtube.com/watch?v=FwiaoKrdzx4,Youtube,Goo😀ood,0,,CS;;;;;;;;;
"2021-10-14,2021-12-15,JJ Medicine,VIDEO,https://www.youtube.com/watch?v=FwiaoKrdzx4,Youtube,""Most (or all) the people I know who have suffered from CFS also have fibromyalgia and have a history of prolonged trauma and stress. THAT is the underlying factor and the link. Adrenal fatigue is also related. See Dr Berg on naturally supporting the adrenals. That&#39";"s what has helped me. Eat healthy, adequate rest, build joy, destress as much as possible,.and support/nourish the adrenals ....prayer is also very helpful."",0,I had mono. Cleared now I have high EBV loads that have caused chronic fatigue for years. My daughter is doing this too. I got mono caring for her when she had mono. I got it as an 40 ye old....she was 10.,CS";;;;;;;;
2021-10-14,2021-12-15,JJ Medicine,VIDEO,https://www.youtube.com/watch?v=FwiaoKrdzx4,Youtube,lyme disease maybe...,0,,CS;;;;;;;;;
2021-10-14,2021-12-15,JJ Medicine,VIDEO,https://www.youtube.com/watch?v=FwiaoKrdzx4,Youtube,Falling asleep whilst watching this....zzzzzzzzx,0,Coffee 😁😁,CS;;;;;;;;;
"2021-10-14,2021-12-15,JJ Medicine,VIDEO,https://www.youtube.com/watch?v=FwiaoKrdzx4,Youtube,""Been sick pretty much all year, fibro runs in the family was diagnosed with it 2 years ago. Sleep 12-15 hours a day and am still tired, tried other ways of sleep as well. Lymph nodes always swollen, stomach always in pain and i work. I go to therapy, i take the meds, i do as told. Nothings changed. Starting to think it wont change been so tired for nearly 7 years now, nothing i try works."",0,,CS";;;;;;;;;
"2021-10-14,2021-12-15,JJ Medicine,VIDEO,https://www.youtube.com/watch?v=FwiaoKrdzx4,Youtube,""What is interesting in all of these videos is the total lack of recognition of the role of detrimental drug side effects  (ie. GI tract and microbiome damage) or nutritional deficiencies that result from a diet of ultra-processed, high sugar, high omega-6 diet, along with dairy and gluten, common issues related to this and many topics like gastric disorders."",0,,CS";;;;;;;;;
2021-10-14,2021-12-15,JJ Medicine,VIDEO,https://www.youtube.com/watch?v=FwiaoKrdzx4,Youtube,Excellent as always,0,,CS;;;;;;;;;
2021-10-14,2021-12-15,JJ Medicine,VIDEO,https://www.youtube.com/watch?v=FwiaoKrdzx4,Youtube,For somebody who is so educated is so ignorant because it can be cured with minerals and vitamins vitamin D three magnesium magnesium mulch chronic fatigue is more likely link to anemia. This is a case of Somebody who went to school and got the books and read them and tested on them but has absolutely no knowledge on the matter of the issue on hand and has no idea how to heal the body this is a prescription writer this is that care not healthcare,0,,CS;;;;;;;;;
2021-10-14,2021-12-15,JJ Medicine,VIDEO,https://www.youtube.com/watch?v=FwiaoKrdzx4,Youtube,Falling asleep whilst watching this....zzzzzzzzx,0,While?,CS;;;;;;;;;
2021-10-14,2021-12-15,JJ Medicine,VIDEO,https://www.youtube.com/watch?v=FwiaoKrdzx4,Youtube,Please molecular bio b krwa do 🙏🏻,0,,CS;;;;;;;;;
2021-10-14,2021-12-15,JJ Medicine,VIDEO,https://www.youtube.com/watch?v=FwiaoKrdzx4,Youtube,Epstein bar causing my CFS. It&#39;s a monster. Wishing all who see this healing. Happy Holidays.,0,,CS;;;;;;;;
"2021-10-14,2021-12-15,JJ Medicine,VIDEO,https://www.youtube.com/watch?v=FwiaoKrdzx4,Youtube,""Most (or all) the people I know who have suffered from CFS also have fibromyalgia and have a history of prolonged trauma and stress. THAT is the underlying factor and the link. Adrenal fatigue is also related. See Dr Berg on naturally supporting the adrenals. That&#39";"s what has helped me. Eat healthy, adequate rest, build joy, destress as much as possible,.and support/nourish the adrenals ....prayer is also very helpful."",0,I&#39";ve never had any trauma and not much stress what I would class as normal level with school exams etc and I have ME there&#39;s other reasons not just trauma 🤷🏻‍♀️,CS;;;;;;
"2021-10-14,2021-12-15,JJ Medicine,VIDEO,https://www.youtube.com/watch?v=FwiaoKrdzx4,Youtube,""I hope you all found this lesson helpful and informative! Thank you to this lesson&#39";"s sponsor, Chegg. Check out the link in the description to receive $5 off your first month of the Chegg Study Pack."",0,,CS";;;;;;;;
2021-10-14,2021-12-15,JJ Medicine,VIDEO,https://www.youtube.com/watch?v=FwiaoKrdzx4,Youtube,Thank you as always. You are the most helpful,0,,CS;;;;;;;;;
2021-11-4,2021-12-15,JJ Medicine,VIDEO,https://www.youtube.com/watch?v=PTN4omnwOyw,Youtube,Dr Ogbomon on YouTube has finally cure me from Herpes virus permanently with his herbal medications,0,,CS;;;;;;;;;
